file_name,clean,noise,snr
00022.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,-2.156599047969461
00023.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,2.4668152010293842
00024.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,8.482672301326906
00025.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,3.8366634884599216
00026.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,3.6802798666658743
00027.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,7.355339569386343
00028.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,5.262764851087818
00029.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,8.007943638629344
00030.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,7.020779068090888
00031.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,11.104463936654929
00032.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,5.432943047872683
00033.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,13.172977616173364
00034.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,1.3847217797709055
00035.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,-3.1908130145818525
00036.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,1.0140011327240672
00037.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,-2.7203127627290047
00038.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,11.573626526153532
00039.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,-4.062073612215005
00040.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,7.525742966227851
00041.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,5.951723118384871
00042.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,11.385739913401373
00043.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,-1.0210492064237542
00044.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,12.137006049154664
00045.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,2.033052788641758
00046.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,10.092953830597144
00047.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,0.9192341375935742
00048.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,12.678729591223725
00049.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,1.5102327566449758
00050.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,-1.6996820456170303
00051.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,2.8505848789317456
00052.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,-3.130792508826994
00053.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,11.422113156738568
00054.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,-1.9769596071487228
00055.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,2.6822889738439915
00056.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,13.885214244776023
00057.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,14.752509498037444
00058.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,4.126090941895681
00059.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,11.522456876854797
00060.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,0.02748268414118682
00061.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,6.947432964617686
00062.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,13.056635206632548
00063.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,5.691158976036301
00064.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,6.804027259708459
00065.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,-4.214364655492253
00066.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,2.1436351726907255
00067.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,-3.4077381968807163
00068.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,1.1091983668563654
00069.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,1.61438623964264
00070.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,10.476605924211917
00071.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,-4.200815826200454
00072.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,3.5898435686327668
00073.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,1.298537436853766
00074.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,7.729822861350892
00075.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,1.9269430016006606
00076.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,-4.138052875900112
00077.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,12.59830349035832
00078.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,10.26481174287362
00079.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,12.561932854497167
00080.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,3.350182876785339
00081.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,7.111551287875136
00082.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,5.269332548165768
00083.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,6.956732959259472
00084.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,0.24431322263900546
00085.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,1.0174261788141448
00086.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,-4.492004358997878
00087.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,1.0612512130206952
00088.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,-0.15848249192945252
00089.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,6.151563773252883
00090.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,6.310140397763351
00091.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,4.502644948301011
00092.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,0.855959525790182
00093.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,-3.714978786103511
00094.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,14.576382915152852
00095.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,1.7941568727572732
00096.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,4.900972617649087
00097.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,14.541614518453637
00098.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,3.8154764980133304
00099.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,1.365456109579024
00100.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,5.395939717507603
00101.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,6.56272859764935
00102.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,12.078675010009727
00103.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,-3.6380545292409994
00104.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,4.290616155586651
00105.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,10.638982372382968
00106.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,9.372056207645006
00107.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,6.720439601063517
00108.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,-4.258111735311843
00109.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,2.0131278256626595
00110.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,6.2638136898549
00111.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,0.9945974484912568
00112.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,5.246683065470985
00113.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,8.46933850569441
00114.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,-1.81612533243813
00115.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,-3.9904465969200476
00116.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,1.7563177412935893
00117.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,-2.838724544410949
00118.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,-1.4219438285781916
00119.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,12.716541923354114
00120.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,2.3072994242823164
00121.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,-0.6246130164092656
00122.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,10.049923404372056
00123.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,-2.862408312128617
00124.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,9.892064815511212
00125.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,4.395705868809889
00126.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,6.965113425582183
00127.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,-2.047596154294047
00128.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,-1.319303558136975
00129.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,7.901442529364838
00130.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,-4.027439874731888
00131.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,-0.027749843944611108
00132.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,5.848170324560085
00133.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,-0.46453313459981604
00134.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,2.6282306980926418
00135.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,13.444655738070924
00136.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,13.507137457355537
00137.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,6.334998491499999
00138.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,5.669417699780053
00139.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,-4.702799507335438
00140.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,14.557985268040099
00141.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,6.460578080663717
00142.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,10.83513992553248
00143.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,6.231147205527378
00144.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,12.546704831298694
00145.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,6.68391657061351
00146.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,9.176996527379105
00147.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,-2.0293309728708286
00148.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,3.5690147793579285
00149.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,8.877801326848234
00150.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,-2.9076051095429367
00151.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,3.7921047554918097
00152.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,-1.6759570459093265
00153.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,5.139572585280947
00154.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,11.380717282724252
00155.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,-3.1978653055112294
00156.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,11.001375013882903
00157.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,6.302527079156091
00158.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,6.786954233612148
00159.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,-1.037986855674622
00160.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,3.722365106776686
00161.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,0.9180752444167473
00162.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,-4.248846481166446
00163.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,-4.3863031925410745
00164.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,4.0621000040246695
00165.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,9.897281539001355
00166.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,6.145908124727939
00167.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,2.7022719913097304
00168.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,-1.6385440493476278
00169.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,11.765226414073858
00170.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,6.981035949229852
00171.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,10.654296364899423
00172.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,11.97018363789429
00173.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,7.063259517240697
00174.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,10.621212345805642
00175.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,7.314737520671386
00176.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,-4.576696176556901
00177.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,10.00929220974982
00178.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,-1.4791573343261222
00179.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,4.170284124745461
00180.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,5.262454154644902
00181.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,4.680417805736516
00182.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,11.887715890786952
00183.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,-1.503722103557612
00184.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,-4.707302497935002
00185.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,11.975281436224643
00186.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,9.853491545988682
00187.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,4.133950706403445
00188.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,3.337968140987555
00189.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,-2.6654097810607347
00190.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,1.7735826597867943
00191.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,-3.106819185126939
00192.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,9.316617455026284
00193.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,-3.4582919116792277
00194.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,-0.8809948326205497
00195.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,6.475524629024044
00196.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,0.8766311040753605
00197.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,8.114534854291964
00198.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,11.071366954864391
00199.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,2.024270059928175
00200.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,-3.131192461124659
00201.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,11.266321673416082
00202.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,10.697334365538937
00203.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,2.868382248730308
00204.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,12.289583876039066
00205.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,2.680615362314649
00206.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,0.14605774410007655
00207.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,11.588038396544718
00208.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,9.727654076771268
00209.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,5.152018161099187
00210.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,7.886532300828339
00211.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,-0.7362686924270379
00212.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,12.914178974071163
00213.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,14.318925030156302
00214.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,1.3400312461157626
00215.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,12.311052364545663
00216.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,1.2056741388023795
00217.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,-4.494721091363658
00218.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,-4.0160968445254275
00219.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,-1.3074632397146901
00220.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,-3.619333167654919
00221.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,0.14950846809086205
00222.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,13.271634631413491
00223.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,4.156990239488209
00224.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,-2.3957642104081023
00225.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,11.197833308003574
00226.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,3.0693968096133206
00227.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,-4.511347100336717
00228.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,12.136620852555051
00229.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 2.wav,0.48589638030792415
00230.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 3.wav,9.18211928143981
00231.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 4.wav,2.1154468564732665
00232.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 5.wav,10.886181236530684
00233.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy.wav,11.89237722287701
00234.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0.wav,5.762950342799169
00235.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 2.wav,6.181730328065167
00236.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 3.wav,-2.5498003712516026
00237.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 4.wav,2.552838371481605
00238.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 5.wav,3.5749465825808535
00239.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy.wav,5.224172925709308
00240.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0.wav,12.835251398713885
00241.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 2.wav,1.0042122318802615
00242.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 3.wav,2.92883757756901
00243.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 4.wav,10.865464660552282
00244.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 5.wav,3.245521547068013
00245.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy.wav,-1.3026490001817526
00246.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0.wav,11.804946321767812
00247.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy 2.wav,6.38542799402577
00248.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 3.wav,-3.7989958889836073
00249.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 4.wav,14.778339483924023
00250.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 5.wav,-0.42435333596069436
00251.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy.wav,7.294034259603393
00252.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0.wav,2.3605336167091884
00253.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0 copy 2.wav,11.055518726964928
00254.wav,./clean/clean_fileid_0 copy.wav,./noise/noise_fileid_0 copy 3.wav,7.551237054112578
00255.wav,./clean/clean_fileid_0.wav,./noise/noise_fileid_0 copy 4.wav,11.424329523965206
00256.wav,./clean/clean_fileid_0 copy 2.wav,./noise/noise_fileid_0 copy 5.wav,0.7650627758443274
00257.wav,./clean/clean_fileid_0 copy 3.wav,./noise/noise_fileid_0 copy.wav,0.49590263185537387
00258.wav,./clean/clean_fileid_0 copy 4.wav,./noise/noise_fileid_0.wav,7.0210378226502
